"","video_id","cloneset_id","cloneset_video_count","cloneset_scraping_count","capture_time","video_published_date","video_updated_date","video_keyword_count","video_category_count","video_duration","video_viewcount","video_favourite_count","video_rating_count","video_rating_min","video_rating_max","video_rating_average","video_comments_count","like_count","dislike_count","uploader_id","uploader_followers_count","uploader_video_count","uploader_contacts_count","uploader_total_viewcount","uploader_age","max_quality","video_age"
"11","-A4-mX8D5uc",25,84,1,"2011-04-28T08:18:10-06:00","2009-09-27T15:13:37.000Z","2010-11-06T05:36:32.000Z",2,1,341,1470,1,2,1,5,3,0.1,1,1,"038427",2,12,0.1,23034,28,1,577.711493055556
"12","-A4-mX8D5uc",25,84,2,"2011-05-05T08:26:38-06:00","2009-09-27T15:13:37.000Z","2010-11-06T05:36:32.000Z",2,1,341,1492,1,2,1,5,3,0.1,1,1,"038427",2,12,0.1,23283,28,1,584.717372685185
"13","-Aywv2hMISw",45,27,0,"2011-04-21T08:01:24-06:00","2009-12-25T09:29:04.000Z","2010-12-23T20:59:56.000Z",3,1,335,17,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"khanbhai1100",29,51,32,8668,20,1,481.897453703704
"14","-Aywv2hMISw",45,27,1,"2011-04-28T08:04:22-06:00","2009-12-25T09:29:04.000Z","2010-12-23T20:59:56.000Z",3,1,335,17,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"khanbhai1100",29,51,32,8848,20,1,488.899513888889
"15","-Aywv2hMISw",45,27,2,"2011-05-05T08:08:00-06:00","2009-12-25T09:29:04.000Z","2010-12-23T20:59:56.000Z",3,1,335,17,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"khanbhai1100",30,51,32,9060,20,1,495.902037037037
"16","-azGP3tKT2c",25,84,0,"2011-04-21T08:07:32-06:00","2008-08-03T09:03:40.000Z","2010-07-28T09:18:28.000Z",1,1,354,445,6,1,1,5,5,0.1,1,0.1,"sanny6667",235,272,87,2701078,49,1,990.961018518518
"17","-azGP3tKT2c",25,84,1,"2011-04-28T08:17:34-06:00","2008-08-03T09:03:40.000Z","2010-07-28T09:18:28.000Z",1,1,354,447,6,1,1,5,5,0.1,1,0.1,"sanny6667",238,272,87,2750858,49,1,997.967986111111
"18","-azGP3tKT2c",25,84,2,"2011-05-05T08:22:37-06:00","2008-08-03T09:03:40.000Z","2010-07-28T09:18:28.000Z",1,1,354,447,6,1,1,5,5,0.1,1,0.1,"sanny6667",243,272,87,2800194,49,1,1004.97149305556
"19","-bJjUkjEFYc",22,57,0,"2011-03-06T20:04:25-06:00","2011-02-18T14:38:59.000Z","2011-02-23T15:28:51.000Z",20,1,203,383,2,2,1,5,5,2,2,0.1,"cciebd",18,6,2,135792,30,3,16.2259953703704
"20","-bJjUkjEFYc",22,57,1,"2011-03-13T20:12:03-06:00","2011-02-18T14:38:59.000Z","2011-02-23T15:28:51.000Z",20,1,203,441,2,2,1,5,5,2,2,0.1,"cciebd",19,8,2,137912,30,3,23.2312962962963
"21","-bJjUkjEFYc",22,57,2,"2011-03-20T20:16:10-06:00","2011-02-18T14:38:59.000Z","2011-02-23T15:28:51.000Z",20,1,203,480,2,2,1,5,5,2,2,0.1,"cciebd",19,8,2,139576,30,3,30.2341550925926
"22","-blDwd5FA_U",40,83,0,"2011-01-24T20:49:53-06:00","2010-10-06T18:27:56.000Z","2011-01-25T00:14:49.000Z",11,1,142,44926,57,103,1,5,4.8834953,49,100,3,"TouristMovie",688,24,457,1116741,30,4,110.140243055556
"23","-blDwd5FA_U",40,83,1,"2011-01-31T20:58:01-06:00","2010-10-06T18:27:56.000Z","2011-01-25T00:14:49.000Z",11,1,142,45600,58,103,1,5,4.8834953,49,100,3,"TouristMovie",700,24,457,1144726,30,4,117.145891203704
"24","-blDwd5FA_U",40,83,2,"2011-02-07T21:02:55-06:00","2010-10-06T18:27:56.000Z","2011-02-01T20:53:00.000Z",11,1,142,46045,58,103,1,5,4.8834953,50,100,3,"TouristMovie",705,24,457,1165755,30,4,124.149293981481
"25","-byqJfMVVNc",25,84,0,"2011-04-21T08:08:22-06:00","2007-02-04T12:55:51.000Z","2011-04-15T03:47:31.000Z",4,1,340,509879,1149,260,1,5,4.8,126,247,13,"batsakki",41,2,0.1,625127,22,1,1536.75869212963
"26","-byqJfMVVNc",25,84,1,"2011-04-28T08:17:54-06:00","2007-02-04T12:55:51.000Z","2011-04-25T23:43:20.000Z",4,1,340,513095,1149,260,1,5,4.8,126,247,13,"batsakki",41,2,0.1,628343,22,1,1543.7653125
"27","-byqJfMVVNc",25,84,2,"2011-05-05T08:27:35-06:00","2007-02-04T12:55:51.000Z","2011-05-04T21:13:28.000Z",4,1,340,516198,1161,263,1,5,4.8022814,126,250.00000205,12.99999795,"batsakki",42,2,0.1,631446,22,1,1550.77203703704
"28","-F_3PBVgwnc",44,112,0,"2011-04-12T00:08:40-06:00","2008-06-30T05:45:40.000Z","2011-04-10T03:23:55.000Z",2,1,286,387308,632,293,1,5,4.645051,127,267,26,"harshul330",122,43,9,1769722,21,1,1015.76597222222
"29","-F_3PBVgwnc",44,112,1,"2011-04-19T00:23:02-06:00","2008-06-30T05:45:40.000Z","2011-04-10T03:23:55.000Z",2,1,286,387463,632,293,1,5,4.645051,127,267,26,"harshul330",122,43,9,1787806,21,1,1022.77594907407
"30","-F_3PBVgwnc",44,112,2,"2011-04-26T00:33:45-06:00","2008-06-30T05:45:40.000Z","2011-04-24T20:31:07.000Z",2,1,286,387574,630,293,1,5,4.645051,127,267,26,"harshul330",123,43,9,1804799,21,1,1029.7833912037
"31","-FHlvEc3vaE",36,23,0,"2010-12-21T22:24:50-06:00","2010-04-14T15:04:18.000Z","2010-12-22T02:18:35.000Z",10,1,147,874668,1257,1338,1,5,4.7847533,1884,1265.99997885,72.0000211499998,"hollywoodstreams",143442,598,12409,465297453,38,4,251.347592592593
"32","-FHlvEc3vaE",36,23,1,"2010-12-29T00:16:12-06:00","2010-04-14T15:04:18.000Z","2010-12-29T05:21:31.000Z",10,1,147,908889,1270,1374,1,5,4.778748,1901,1297.999938,76.0000619999998,"hollywoodstreams",147317,599,12569,473719088,38,4,258.424930555556
"33","-FHlvEc3vaE",36,23,2,"2011-01-05T00:19:10-06:00","2010-04-14T15:04:18.000Z","2011-01-05T02:29:39.000Z",10,1,147,947134,1284,1394,1,5,4.773314,1935,1314.999929,79.0000709999999,"hollywoodstreams",151239,600,12800,482771985,38,4,265.426990740741
"34","-FYXHRLWJas",22,57,0,"2011-03-06T20:04:05-06:00","2011-02-17T18:58:06.000Z","2011-03-06T08:56:56.000Z",2,1,207,8641,20,38,1,5,4.894737,15,37,1,"odvutsundor",5,1,8,8641,26,1,17.0458217592593
"35","-FYXHRLWJas",22,57,1,"2011-03-13T20:08:05-06:00","2011-02-17T18:58:06.000Z","2011-03-13T16:59:11.000Z",2,1,207,9234,20,44,1,5,4.909091,15,43,1,"odvutsundor",6,1,8,9234,26,1,24.048599537037
"36","-FYXHRLWJas",22,57,2,"2011-03-20T20:15:05-06:00","2011-02-17T18:58:06.000Z","2011-03-17T13:40:46.000Z",2,1,207,9866,22,46,1,5,4.9130435,16,45,1,"odvutsundor",7,1,8,9866,26,1,31.0534606481481
"37","-FZJBhLV_nY",28,29,0,"2011-02-21T00:06:20-06:00","2010-12-25T07:47:45.000Z","2011-02-14T08:24:52.000Z",5,1,231,877,0.1,1,1,5,5,0.1,1,0.1,"SNIPPA2001",4,24,2,28863,26.9357713012809,3,57.6795717592593
"38","-FZJBhLV_nY",28,29,1,"2011-02-28T00:12:50-06:00","2010-12-25T07:47:45.000Z","2011-02-27T22:31:28.000Z",5,1,231,902,0.1,2,1,5,5,0.1,2,0.1,"SNIPPA2001",4,24,2,29230,26.9357713012809,3,64.6840856481482
"39","-FZJBhLV_nY",28,29,2,"2011-03-07T00:18:50-06:00","2010-12-25T07:47:45.000Z","2011-02-27T22:31:28.000Z",5,1,231,920,0.1,2,1,5,5,0.1,2,0.1,"SNIPPA2001",4,24,2,29656,26.9357713012809,3,71.6882523148148
"40","-giwH2WRcTY",32,36,0,"2011-04-14T00:00:22-06:00","2010-06-24T07:35:52.000Z","2010-08-20T13:24:16.000Z",42,1,104,92,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"VoltageWire",27,146,18,44196,36,5,293.683680555556
"41","-giwH2WRcTY",32,36,1,"2011-04-21T00:04:21-06:00","2010-06-24T07:35:52.000Z","2010-08-20T13:24:16.000Z",42,1,104,94,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"VoltageWire",27,146,18,44520,36,5,300.686446759259
"42","-giwH2WRcTY",32,36,2,"2011-04-28T00:07:24-06:00","2010-06-24T07:35:52.000Z","2010-08-20T13:24:16.000Z",42,1,104,94,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"VoltageWire",27,146,18,44861,36,5,307.688564814815
"43","-HwIRb5sTzo",44,112,0,"2011-04-12T00:13:15-06:00","2008-09-22T06:21:30.000Z","2011-04-11T11:02:13.000Z",6,1,300,212169,134,43,1,5,4.72093,15,40,3,"kaivitipower",46,15,3,592171,29,2,931.744270833333
"44","-HwIRb5sTzo",44,112,1,"2011-04-19T00:23:08-06:00","2008-09-22T06:21:30.000Z","2011-04-17T17:42:18.000Z",6,1,300,216930,136,45,1,5,4.733333,15,42,3,"kaivitipower",46,15,3,600432,29,2,938.751134259259
"45","-HwIRb5sTzo",44,112,2,"2011-04-26T00:31:23-06:00","2008-09-22T06:21:30.000Z","2011-04-24T04:03:01.000Z",6,1,300,221762,138,45,1,5,4.733333,15,41.99999625,3.00000375,"kaivitipower",47,15,3,608591,29,2,945.756863425926
"46","-JAbyvelPco",17,33,0,"2011-04-21T00:04:05-06:00","2009-11-29T13:45:52.000Z","2011-01-12T17:35:55.000Z",8,1,330,6839,18,13,1,5,4.3846154,2,11,2,"PraveenGuptaNewDelhi",112,58,3,843265,26.9357713012809,4,507.387650462963
"47","-JAbyvelPco",17,33,1,"2011-04-28T00:10:48-06:00","2009-11-29T13:45:52.000Z","2011-04-23T01:55:45.000Z",8,1,330,6937,17,14,1,5,4.428571,2,12,2,"PraveenGuptaNewDelhi",113,58,3,864714,26.9357713012809,4,514.392314814815
"48","-JAbyvelPco",17,33,2,"2011-05-05T00:15:22-06:00","2009-11-29T13:45:52.000Z","2011-04-23T01:55:45.000Z",8,1,330,7033,17,14,1,5,4.428571,2,12,2,"PraveenGuptaNewDelhi",114,58,3,883790,26.9357713012809,4,521.395486111111
"49","-KMlUh1Rofs",39,52,0,"2011-04-13T00:22:31-06:00","2007-04-19T21:26:13.000Z","2010-10-27T13:36:03.000Z",1,1,299,569,0.1,1,1,5,5,0.1,1,0.1,"zahidmajeed7",0.1,1,0.1,569,27,2,1454.12243055556
"50","-KMlUh1Rofs",39,52,1,"2011-04-20T00:29:22-06:00","2007-04-19T21:26:13.000Z","2010-10-27T13:36:03.000Z",1,1,299,574,0.1,1,1,5,5,0.1,1,0.1,"zahidmajeed7",0.1,1,0.1,574,27,2,1461.1271875
"51","-KMlUh1Rofs",39,52,2,"2011-04-27T00:33:23-06:00","2007-04-19T21:26:13.000Z","2010-10-27T13:36:03.000Z",1,1,299,575,0.1,1,1,5,5,0.1,1,0.1,"zahidmajeed7",0.1,1,0.1,575,27,2,1468.12997685185
"52","-MGGUH4Kh5I",20,99,0,"2011-03-17T00:04:40-06:00","2009-05-23T21:50:51.000Z","2010-09-24T10:46:10.000Z",6,1,173,5293,1,1,1,5,5,1,1,0.1,"FriedaPintoFan",0.1,2,2,5371,15,1,662.134594907407
"53","-MGGUH4Kh5I",20,99,1,"2011-03-24T00:12:45-06:00","2009-05-23T21:50:51.000Z","2010-09-24T10:46:10.000Z",6,1,173,5356,1,1,1,5,5,1,1,0.1,"FriedaPintoFan",0.1,2,2,5434,15,1,669.140208333333
"54","-MGGUH4Kh5I",20,99,2,"2011-03-31T00:22:40-06:00","2009-05-23T21:50:51.000Z","2010-09-24T10:46:10.000Z",6,1,173,5420,1,1,1,5,5,1,1,0.1,"FriedaPintoFan",0.1,2,2,5498,15,1,676.105428240741
"55","-n2ccEIz5pA",15,22,0,"2010-12-21T22:27:12-06:00","2010-09-06T11:26:41.000Z","2010-11-29T13:48:18.000Z",13,1,222,37,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"ideaexpert",2,7,0.1,609,50,1,106.500358796296
"56","-n2ccEIz5pA",15,22,1,"2010-12-29T00:16:51-06:00","2010-09-06T11:26:41.000Z","2010-11-29T13:48:18.000Z",13,1,222,39,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"ideaexpert",2,7,0.1,678,50,1,113.57650462963
"57","-n2ccEIz5pA",15,22,2,"2011-01-05T00:21:11-06:00","2010-09-06T11:26:41.000Z","2010-11-29T13:48:18.000Z",13,1,222,40,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"ideaexpert",2,7,0.1,760,50,1,120.579513888889
"58","-NV9H8p4arw",14,71,0,"2010-12-13T22:41:34-06:00","2010-10-15T11:20:13.000Z","2010-10-15T11:23:16.000Z",7,1,151,1075,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"TheYTMovieTrailers",9,46,9,58446,21,3,59.5148263888889
"59","-NV9H8p4arw",14,71,1,"2010-12-21T22:16:27-06:00","2010-10-15T11:20:13.000Z","2010-10-15T11:23:16.000Z",7,1,151,1088,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"TheYTMovieTrailers",12,46,9,75390,21,3,67.4973842592593
"60","-NV9H8p4arw",14,71,2,"2010-12-29T00:09:31-06:00","2010-10-15T11:20:13.000Z","2010-10-15T11:23:16.000Z",7,1,151,1092,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"TheYTMovieTrailers",13,46,9,85363,21,3,74.5759027777778
"61","-qeHFYUKdeA",22,57,0,"2011-03-06T20:03:30-06:00","2011-02-17T20:46:18.000Z","2011-02-19T21:12:34.000Z",20,1,208,834,1,2,1,5,5,3,2,0.1,"MayeshaK",6,25,0.1,18106,20,3,16.9702777777778
"62","-qeHFYUKdeA",22,57,1,"2011-03-13T20:08:32-06:00","2011-02-17T20:46:18.000Z","2011-02-19T21:12:34.000Z",20,1,208,919,1,2,1,5,5,3,2,0.1,"MayeshaK",6,25,0.1,18229,20,3,23.9737731481481
"63","-qeHFYUKdeA",22,57,2,"2011-03-20T20:14:30-06:00","2011-02-17T20:46:18.000Z","2011-03-17T08:16:00.000Z",20,1,208,1037,1,3,1,5,5,4,3,0.1,"MayeshaK",6,25,0.1,18380,20,3,30.9779166666667
"64","-QrHqAAHxuQ",2,65,0,"2011-02-21T00:13:38-06:00","2010-04-11T09:05:33.000Z","2010-09-08T17:46:45.000Z",5,1,469,110,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"waqarawan1985",15,115,21,132105,24,3,315.672280092593
"65","-QrHqAAHxuQ",2,65,1,"2011-02-28T00:39:29-06:00","2010-04-11T09:05:33.000Z","2010-09-08T17:46:45.000Z",5,1,469,113,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"waqarawan1985",15,115,21,137589,24,3,322.690231481481
"66","-QrHqAAHxuQ",2,65,2,"2011-03-07T00:43:19-06:00","2010-04-11T09:05:33.000Z","2010-09-08T17:46:45.000Z",5,1,469,115,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"waqarawan1985",15,115,21,143002,24,3,329.692893518519
"67","-RYJcqsWcTw",11,63,0,"2011-02-21T00:08:06-06:00","2009-05-13T20:43:33.000Z","2011-02-11T19:19:05.000Z",6,1,541,23410,18,12,1,5,4.6666665,7,10.9999995,1.0000005,"koolChiku",453,254,80,4110071,35,3,648.183715277778
"68","-RYJcqsWcTw",11,63,1,"2011-02-28T00:17:08-06:00","2009-05-13T20:43:33.000Z","2011-02-11T19:19:05.000Z",6,1,541,23602,18,12,1,5,4.6666665,7,10.9999995,1.0000005,"koolChiku",462,256,88,4250148,35,3,655.189988425926
"69","-RYJcqsWcTw",11,63,2,"2011-03-07T00:22:08-06:00","2009-05-13T20:43:33.000Z","2011-03-05T08:56:57.000Z",6,1,541,23801,18,13,1,5,4.6923075,7,11.999999375,1.000000625,"koolChiku",480,256,89,4341273,35,3,662.193460648148
"70","-tHrsUMXaWc",32,36,0,"2011-04-14T00:00:13-06:00","2009-02-11T23:27:45.000Z","2011-03-06T12:39:35.000Z",16,1,104,6461,4,7,1,5,4.428571,4,5.99999925,1.00000075,"bboy41290",15,26,18,52777,26.9357713012809,4,790.98087962963
"71","-tHrsUMXaWc",32,36,1,"2011-04-21T00:03:15-06:00","2009-02-11T23:27:45.000Z","2011-03-06T12:39:35.000Z",16,1,104,6467,4,7,1,5,4.428571,4,5.99999925,1.00000075,"bboy41290",15,26,18,53311,26.9357713012809,4,797.982986111111
"72","-tHrsUMXaWc",32,36,2,"2011-04-28T00:08:13-06:00","2009-02-11T23:27:45.000Z","2011-03-06T12:39:35.000Z",16,1,104,6467,4,7,1,5,4.428571,4,5.99999925,1.00000075,"bboy41290",15,26,18,53868,26.9357713012809,4,804.986435185185
"73","-UNhUhTgC9Q",11,63,0,"2011-02-21T00:10:30-06:00","2010-06-02T08:58:24.000Z","2011-02-20T22:44:22.000Z",46,1,560,95352,307,138,1,5,4.9710145,107,137.00000025,0.999999750000001,"KingKhanHD",873,106,272,1576096,26.9357713012809,5,263.675069444444
"74","-UNhUhTgC9Q",11,63,1,"2011-02-28T00:16:29-06:00","2010-06-02T08:58:24.000Z","2011-02-28T04:21:25.000Z",46,1,560,101126,318,155,1,5,4.9741936,110,154.000002,0.999997999999977,"KingKhanHD",921,106,286,1673349,26.9357713012809,5,270.679224537037
"75","-UNhUhTgC9Q",11,63,2,"2011-03-07T00:23:41-06:00","2010-06-02T08:58:24.000Z","2011-03-06T20:26:41.000Z",46,1,560,106812,338,165,1,5,4.9757576,114,164.000001,0.999999000000003,"KingKhanHD",975,106,302,1772719,26.9357713012809,5,277.684224537037
"76","-VbKd3LWwE0",34,30,0,"2010-11-15T08:52:22-06:00","2007-12-13T17:26:58.000Z","2010-11-06T14:42:15.000Z",16,1,132,7953,50,42,1,5,5,14,42,0.1,"ICNetwork",4,6,0.1,21643,27.1078534031414,2,1067.64263888889
"77","-VbKd3LWwE0",34,30,1,"2010-11-22T09:14:31-06:00","2007-12-13T17:26:58.000Z","2010-11-06T14:42:15.000Z",16,1,132,7979,51,42,1,5,5,14,42,0.1,"ICNetwork",4,6,0.1,21693,27.1078534031414,2,1074.65802083333
"78","-VbKd3LWwE0",34,30,2,"2010-12-13T22:26:46-06:00","2007-12-13T17:26:58.000Z","2010-11-24T18:30:44.000Z",16,1,132,8017,51,42,1,5,5,14,42,0.1,"ICNetwork",4,6,0.1,21772,27.1078534031414,2,1096.20819444444
"79","-Vy3QclZl6E",44,112,0,"2011-04-12T00:13:33-06:00","2009-12-18T17:32:40.000Z","2010-11-13T07:47:42.000Z",5,1,331,476,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"miracleofsole",9,37,18,25025,27,1,479.236724537037
"80","-Vy3QclZl6E",44,112,1,"2011-04-19T00:21:31-06:00","2009-12-18T17:32:40.000Z","2010-11-13T07:47:42.000Z",5,1,331,480,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"miracleofsole",9,37,18,25746,27,1,486.242256944444
"81","-Vy3QclZl6E",44,112,2,"2011-04-26T00:31:36-06:00","2009-12-18T17:32:40.000Z","2010-11-13T07:47:42.000Z",5,1,331,485,0.1,0.1,NA,NA,0.1,0.1,0.1,0.1,"miracleofsole",9,37,18,26511,16,1,493.249259259259
"82","-wBWtZ1ZvNQ",24,31,0,"2011-04-15T00:01:02-06:00","2008-05-12T04:21:24.000Z","2010-10-29T07:43:48.000Z",4,1,307,4518,6,0.1,NA,NA,0.1,1,0.1,0.1,"anishverycute",0.1,6,0.1,8987,32,1,1067.81918981481
"83","-wBWtZ1ZvNQ",24,31,1,"2011-04-22T00:04:53-06:00","2008-05-12T04:21:24.000Z","2010-10-29T07:43:48.000Z",4,1,307,4533,6,0.1,NA,NA,0.1,1,0.1,0.1,"anishverycute",0.1,6,0.1,9007,32,1,1074.82186342593
"84","-wBWtZ1ZvNQ",24,31,2,"2011-04-29T00:07:41-06:00","2008-05-12T04:21:24.000Z","2010-10-29T07:43:48.000Z",4,1,307,4541,6,0.1,NA,NA,0.1,1,0.1,0.1,"anishverycute",0.1,6,0.1,9017,32,1,1081.82380787037
"85","-WFd6lJixuE",14,71,0,"2010-12-13T22:42:05-06:00","2010-10-04T04:39:10.000Z","2010-12-01T13:18:09.000Z",2,1,152,9606,1,14,1,5,4.428571,12,11.9999985,2.0000015,"MovieTrailerFanatic",23,60,13,88922,19,1,70.7936921296296
"86","-WFd6lJixuE",14,71,1,"2010-12-21T22:17:00-06:00","2010-10-04T04:39:10.000Z","2010-12-01T13:18:09.000Z",2,1,152,9859,2,14,1,5,4.428571,12,11.9999985,2.0000015,"MovieTrailerFanatic",23,61,14,91901,19,1,78.7762731481481
"87","-WFd6lJixuE",14,71,2,"2010-12-29T00:10:03-06:00","2010-10-04T04:39:10.000Z","2010-12-27T06:20:34.000Z",2,1,152,10599,2,15,1,5,4.2,13,12,3,"MovieTrailerFanatic",24,61,15,95145,19,1,85.8547800925926
"94","_2J8gBHvPjY",2,65,0,"2011-02-21T00:13:43-06:00","2007-08-30T23:15:52.000Z","2011-02-17T01:30:21.000Z",4,1,433,26348,96,44,1,5,4.818182,17,42.000002,1.999998,"faruq7778",261,21,86,2458395,26.9357713012809,2,1270.08184027778
"95","_2J8gBHvPjY",2,65,1,"2011-02-28T00:38:45-06:00","2007-08-30T23:15:52.000Z","2011-02-17T01:30:21.000Z",4,1,433,26618,96,44,1,5,4.818182,17,42.000002,1.999998,"faruq7778",261,21,86,2461619,26.9357713012809,2,1277.09922453704
"96","_2J8gBHvPjY",2,65,2,"2011-03-07T00:43:23-06:00","2007-08-30T23:15:52.000Z","2011-03-06T19:09:43.000Z",4,1,433,26830,97,45,1,5,4.822222,17,42.9999975,2.0000025,"faruq7778",260,21,86,2464938,26.9357713012809,2,1284.10244212963
"97","_a_y0elTD_Y",44,112,0,"2011-04-12T00:11:12-06:00","2007-07-29T00:18:04.000Z","2011-04-09T18:19:36.000Z",7,1,318,125833,117,41,1,5,4.609756,9,37,4,"alibaccha",11,4,4,210842,26.9357713012809,1,1352.99523148148
"98","_a_y0elTD_Y",44,112,1,"2011-04-19T00:26:02-06:00","2007-07-29T00:18:04.000Z","2011-04-18T10:12:17.000Z",7,1,318,126003,117,42,1,5,4.6190476,9,38,4,"alibaccha",11,4,4,211447,26.9357713012809,1,1360.00553240741
"99","_a_y0elTD_Y",44,112,2,"2011-04-26T00:37:02-06:00","2007-07-29T00:18:04.000Z","2011-04-18T10:12:17.000Z",7,1,318,126183,118,42,1,5,4.6190476,9,38,4,"alibaccha",11,4,4,212092,26.9357713012809,1,1367.0131712963
"100","_AbeMhE0fFI",8,20,0,"2010-12-13T22:40:27-06:00","2010-04-01T21:07:26.000Z","2010-12-12T22:36:32.000Z",6,1,116,346822,181,221,1,5,4.7466063,172,206.999998075,14.000001925,"TheTubeTrailers",3874,390,299,8068305,33,5,256.106261574074
"101","_AbeMhE0fFI",8,20,1,"2010-12-21T22:15:20-06:00","2010-04-01T21:07:26.000Z","2010-12-22T01:51:31.000Z",6,1,116,356388,186,226,1,5,4.7522125,176,212.00000625,13.99999375,"TheTubeTrailers",4129,390,321,8579082,33,5,264.088819444444
"102","_AbeMhE0fFI",8,20,2,"2010-12-29T00:07:43-06:00","2010-04-01T21:07:26.000Z","2010-12-28T22:28:55.000Z",6,1,116,368256,195,231,1,5,4.757576,179,217.000014,13.999986,"TheTubeTrailers",4346,395,331,9103126,33,5,271.166863425926
"103","_b5kAhTvrHk",16,51,0,"2011-04-12T00:06:08-06:00","2010-03-22T04:59:27.000Z","2011-03-29T18:31:25.000Z",3,1,281,5265,6,10,1,5,5,1,10,0.1,"MrKeshavgupta",10,8,0.1,7791,26.9357713012809,2,385.754641203704
"104","_b5kAhTvrHk",16,51,1,"2011-04-19T00:14:15-06:00","2010-03-22T04:59:27.000Z","2011-04-12T10:21:34.000Z",3,1,281,5561,6,11,1,5,5,1,11,0.1,"MrKeshavgupta",10,8,0.1,8198,26.9357713012809,2,392.760277777778
"105","_b5kAhTvrHk",16,51,2,"2011-04-26T00:17:56-06:00","2010-03-22T04:59:27.000Z","2011-04-22T12:31:01.000Z",3,1,281,5794,7,12,1,5,5,1,12,0.1,"MrKeshavgupta",10,8,0.1,8595,26.9357713012809,2,399.762835648148
